E [keV],epsilon (3 mm),epsilon (30 mm),epsilon (80 mm),epsilon (120 mm),epsilon (250 mm)
149,1.35140E+02,3.81618E+01,1.17875E+01,6.11006E+00,1.66860E+00
150,1.34727E+02,3.80324E+01,1.17563E+01,6.09473E+00,1.66495E+00
151,1.34305E+02,3.79013E+01,1.17244E+01,6.07906E+00,1.66120E+00
152,1.33875E+02,3.77686E+01,1.16920E+01,6.06306E+00,1.65735E+00
153,1.33437E+02,3.76344E+01,1.16589E+01,6.04677E+00,1.65341E+00
154,1.32992E+02,3.74987E+01,1.16253E+01,6.03018E+00,1.64939E+00
155,1.32540E+02,3.73617E+01,1.15911E+01,6.01331E+00,1.64528E+00
156,1.32082E+02,3.72235E+01,1.15565E+01,5.99619E+00,1.64109E+00
157,1.31618E+02,3.70842E+01,1.15213E+01,5.97883E+00,1.63682E+00
158,1.31149E+02,3.69439E+01,1.14858E+01,5.96124E+00,1.63248E+00
159,1.30674E+02,3.68027E+01,1.14498E+01,5.94343E+00,1.62808E+00
160,1.30195E+02,3.66607E+01,1.14135E+01,5.92542E+00,1.62361E+00
161,1.29711E+02,3.65178E+01,1.13768E+01,5.90722E+00,1.61907E+00
162,1.29223E+02,3.63744E+01,1.13397E+01,5.88884E+00,1.61449E+00
163,1.28731E+02,3.62303E+01,1.13024E+01,5.87030E+00,1.60984E+00
164,1.28236E+02,3.60856E+01,1.12647E+01,5.85160E+00,1.60515E+00
165,1.27738E+02,3.59406E+01,1.12268E+01,5.83276E+00,1.60040E+00
166,1.27237E+02,3.57951E+01,1.11886E+01,5.81379E+00,1.59561E+00
167,1.26734E+02,3.56493E+01,1.11502E+01,5.79470E+00,1.59078E+00
168,1.26228E+02,3.55032E+01,1.11116E+01,5.77549E+00,1.58591E+00
169,1.25720E+02,3.53569E+01,1.10728E+01,5.75618E+00,1.58100E+00
170,1.25210E+02,3.52105E+01,1.10339E+01,5.73677E+00,1.57606E+00
171,1.24699E+02,3.50640E+01,1.09947E+01,5.71728E+00,1.57108E+00
172,1.24187E+02,3.49174E+01,1.09555E+01,5.69772E+00,1.56608E+00
173,1.23673E+02,3.47707E+01,1.09161E+01,5.67808E+00,1.56104E+00
174,1.23158E+02,3.46242E+01,1.08766E+01,5.65838E+00,1.55598E+00
175,1.22643E+02,3.44777E+01,1.08370E+01,5.63863E+00,1.55090E+00
176,1.22127E+02,3.43313E+01,1.07973E+01,5.61883E+00,1.54580E+00
177,1.21611E+02,3.41851E+01,1.07575E+01,5.59899E+00,1.54067E+00
178,1.21095E+02,3.40391E+01,1.07177E+01,5.57912E+00,1.53553E+00
179,1.20578E+02,3.38933E+01,1.06779E+01,5.55921E+00,1.53037E+00
180,1.20062E+02,3.37478E+01,1.06380E+01,5.53929E+00,1.52520E+00
181,1.19546E+02,3.36026E+01,1.05981E+01,5.51935E+00,1.52002E+00
182,1.19031E+02,3.34578E+01,1.05582E+01,5.49940E+00,1.51482E+00
183,1.18516E+02,3.33133E+01,1.05183E+01,5.47944E+00,1.50962E+00
184,1.18002E+02,3.31691E+01,1.04784E+01,5.45949E+00,1.50441E+00
185,1.17488E+02,3.30254E+01,1.04385E+01,5.43954E+00,1.49919E+00
186,1.16976E+02,3.28821E+01,1.03987E+01,5.41959E+00,1.49397E+00
187,1.16464E+02,3.27393E+01,1.03589E+01,5.39966E+00,1.48874E+00
188,1.15954E+02,3.25970E+01,1.03191E+01,5.37975E+00,1.48351E+00
189,1.15445E+02,3.24552E+01,1.02794E+01,5.35986E+00,1.47828E+00
190,1.14937E+02,3.23139E+01,1.02397E+01,5.34000E+00,1.47305E+00
191,1.14431E+02,3.21731E+01,1.02002E+01,5.32017E+00,1.46782E+00
192,1.13926E+02,3.20329E+01,1.01607E+01,5.30037E+00,1.46259E+00
193,1.13423E+02,3.18932E+01,1.01212E+01,5.28060E+00,1.45737E+00
194,1.12921E+02,3.17542E+01,1.00819E+01,5.26088E+00,1.45215E+00
195,1.12422E+02,3.16158E+01,1.00426E+01,5.24119E+00,1.44693E+00
196,1.11924E+02,3.14779E+01,1.00035E+01,5.22156E+00,1.44173E+00
197,1.11428E+02,3.13407E+01,9.96447E+00,5.20197E+00,1.43652E+00
198,1.10934E+02,3.12042E+01,9.92554E+00,5.18243E+00,1.43133E+00
199,1.10442E+02,3.10683E+01,9.88673E+00,5.16295E+00,1.42615E+00
200,1.09952E+02,3.09331E+01,9.84804E+00,5.14352E+00,1.42097E+00
201,1.09464E+02,3.07985E+01,9.80947E+00,5.12415E+00,1.41580E+00
202,1.08978E+02,3.06646E+01,9.77103E+00,5.10484E+00,1.41065E+00
203,1.08494E+02,3.05314E+01,9.73272E+00,5.08559E+00,1.40551E+00
204,1.08013E+02,3.03990E+01,9.69455E+00,5.06641E+00,1.40038E+00
205,1.07534E+02,3.02672E+01,9.65652E+00,5.04729E+00,1.39526E+00
206,1.07058E+02,3.01361E+01,9.61863E+00,5.02824E+00,1.39015E+00
207,1.06583E+02,3.00057E+01,9.58089E+00,5.00927E+00,1.38506E+00
208,1.06111E+02,2.98761E+01,9.54329E+00,4.99036E+00,1.37999E+00
209,1.05642E+02,2.97472E+01,9.50585E+00,4.97152E+00,1.37492E+00
210,1.05175E+02,2.96190E+01,9.46857E+00,4.95276E+00,1.36988E+00
211,1.04710E+02,2.94916E+01,9.43144E+00,4.93408E+00,1.36485E+00
212,1.04248E+02,2.93649E+01,9.39447E+00,4.91547E+00,1.35983E+00
213,1.03788E+02,2.92389E+01,9.35767E+00,4.89694E+00,1.35484E+00
214,1.03331E+02,2.91137E+01,9.32102E+00,4.87849E+00,1.34986E+00
215,1.02877E+02,2.89892E+01,9.28455E+00,4.86012E+00,1.34490E+00
216,1.02425E+02,2.88655E+01,9.24824E+00,4.84183E+00,1.33995E+00
217,1.01976E+02,2.87425E+01,9.21210E+00,4.82362E+00,1.33503E+00
218,1.01529E+02,2.86202E+01,9.17613E+00,4.80549E+00,1.33012E+00
219,1.01085E+02,2.84988E+01,9.14034E+00,4.78745E+00,1.32523E+00
220,1.00643E+02,2.83780E+01,9.10471E+00,4.76949E+00,1.32036E+00
221,1.00204E+02,2.82580E+01,9.06927E+00,4.75162E+00,1.31551E+00
222,9.97682E+01,2.81388E+01,9.03400E+00,4.73383E+00,1.31068E+00
223,9.93346E+01,2.80203E+01,8.99891E+00,4.71613E+00,1.30587E+00
224,9.89036E+01,2.79026E+01,8.96399E+00,4.69851E+00,1.30108E+00
225,9.84753E+01,2.77856E+01,8.92925E+00,4.68098E+00,1.29631E+00
226,9.80497E+01,2.76694E+01,8.89470E+00,4.66354E+00,1.29156E+00
227,9.76267E+01,2.75539E+01,8.86032E+00,4.64619E+00,1.28684E+00
228,9.72063E+01,2.74392E+01,8.82613E+00,4.62893E+00,1.28213E+00
229,9.67887E+01,2.73252E+01,8.79212E+00,4.61175E+00,1.27744E+00
230,9.63736E+01,2.72119E+01,8.75829E+00,4.59466E+00,1.27278E+00
231,9.59612E+01,2.70994E+01,8.72464E+00,4.57766E+00,1.26813E+00
232,9.55515E+01,2.69876E+01,8.69117E+00,4.56075E+00,1.26351E+00
233,9.51444E+01,2.68766E+01,8.65789E+00,4.54393E+00,1.25891E+00
234,9.47399E+01,2.67662E+01,8.62479E+00,4.52720E+00,1.25433E+00
235,9.43381E+01,2.66567E+01,8.59187E+00,4.51056E+00,1.24978E+00
236,9.39389E+01,2.65478E+01,8.55914E+00,4.49401E+00,1.24524E+00
237,9.35423E+01,2.64397E+01,8.52659E+00,4.47755E+00,1.24073E+00
238,9.31484E+01,2.63322E+01,8.49422E+00,4.46117E+00,1.23624E+00
239,9.27570E+01,2.62255E+01,8.46204E+00,4.44489E+00,1.23177E+00
240,9.23683E+01,2.61196E+01,8.43004E+00,4.42870E+00,1.22733E+00
241,9.19821E+01,2.60143E+01,8.39822E+00,4.41260E+00,1.22290E+00
242,9.15985E+01,2.59097E+01,8.36658E+00,4.39658E+00,1.21850E+00
243,9.12175E+01,2.58059E+01,8.33513E+00,4.38066E+00,1.21412E+00
244,9.08390E+01,2.57027E+01,8.30386E+00,4.36482E+00,1.20976E+00
245,9.04631E+01,2.56002E+01,8.27277E+00,4.34907E+00,1.20543E+00
246,9.00898E+01,2.54984E+01,8.24186E+00,4.33342E+00,1.20112E+00
247,8.97189E+01,2.53974E+01,8.21113E+00,4.31785E+00,1.19683E+00
248,8.93506E+01,2.52970E+01,8.18058E+00,4.30237E+00,1.19256E+00
249,8.89848E+01,2.51972E+01,8.15022E+00,4.28698E+00,1.18832E+00
250,8.86214E+01,2.50982E+01,8.12003E+00,4.27167E+00,1.18409E+00
251,8.82606E+01,2.49998E+01,8.09002E+00,4.25646E+00,1.17989E+00
252,8.79022E+01,2.49021E+01,8.06019E+00,4.24133E+00,1.17571E+00
253,8.75463E+01,2.48051E+01,8.03053E+00,4.22629E+00,1.17156E+00
254,8.71928E+01,2.47087E+01,8.00105E+00,4.21133E+00,1.16743E+00
255,8.68417E+01,2.46130E+01,7.97175E+00,4.19647E+00,1.16331E+00
256,8.64930E+01,2.45179E+01,7.94263E+00,4.18169E+00,1.15923E+00
257,8.61468E+01,2.44235E+01,7.91368E+00,4.16699E+00,1.15516E+00
258,8.58029E+01,2.43297E+01,7.88490E+00,4.15238E+00,1.15111E+00
259,8.54614E+01,2.42365E+01,7.85630E+00,4.13786E+00,1.14709E+00
260,8.51222E+01,2.41440E+01,7.82787E+00,4.12342E+00,1.14309E+00
261,8.47854E+01,2.40522E+01,7.79961E+00,4.10907E+00,1.13911E+00
262,8.44509E+01,2.39609E+01,7.77152E+00,4.09480E+00,1.13516E+00
263,8.41187E+01,2.38703E+01,7.74360E+00,4.08061E+00,1.13122E+00
264,8.37888E+01,2.37803E+01,7.71586E+00,4.06651E+00,1.12731E+00
265,8.34612E+01,2.36909E+01,7.68828E+00,4.05249E+00,1.12342E+00
266,8.31359E+01,2.36021E+01,7.66087E+00,4.03856E+00,1.11955E+00
267,8.28128E+01,2.35139E+01,7.63362E+00,4.02471E+00,1.11570E+00
268,8.24920E+01,2.34263E+01,7.60655E+00,4.01093E+00,1.11187E+00
269,8.21733E+01,2.33393E+01,7.57963E+00,3.99724E+00,1.10807E+00
270,8.18569E+01,2.32529E+01,7.55289E+00,3.98364E+00,1.10428E+00
271,8.15427E+01,2.31671E+01,7.52630E+00,3.97011E+00,1.10052E+00
272,8.12306E+01,2.30818E+01,7.49988E+00,3.95666E+00,1.09678E+00
273,8.09207E+01,2.29972E+01,7.47362E+00,3.94330E+00,1.09306E+00
274,8.06129E+01,2.29131E+01,7.44752E+00,3.93001E+00,1.08936E+00
275,8.03073E+01,2.28296E+01,7.42158E+00,3.91680E+00,1.08568E+00
276,8.00038E+01,2.27466E+01,7.39580E+00,3.90367E+00,1.08203E+00
277,7.97024E+01,2.26642E+01,7.37018E+00,3.89062E+00,1.07839E+00
278,7.94030E+01,2.25824E+01,7.34471E+00,3.87764E+00,1.07477E+00
279,7.91057E+01,2.25011E+01,7.31940E+00,3.86475E+00,1.07118E+00
280,7.88105E+01,2.24203E+01,7.29425E+00,3.85193E+00,1.06760E+00
281,7.85173E+01,2.23401E+01,7.26925E+00,3.83918E+00,1.06405E+00
282,7.82261E+01,2.22605E+01,7.24441E+00,3.82651E+00,1.06051E+00
283,7.79370E+01,2.21814E+01,7.21971E+00,3.81392E+00,1.05700E+00
284,7.76498E+01,2.21028E+01,7.19517E+00,3.80141E+00,1.05350E+00
285,7.73646E+01,2.20247E+01,7.17078E+00,3.78896E+00,1.05003E+00
286,7.70814E+01,2.19471E+01,7.14654E+00,3.77659E+00,1.04657E+00
287,7.68000E+01,2.18701E+01,7.12244E+00,3.76430E+00,1.04314E+00
288,7.65207E+01,2.17936E+01,7.09850E+00,3.75208E+00,1.03972E+00
289,7.62432E+01,2.17176E+01,7.07470E+00,3.73993E+00,1.03633E+00
290,7.59677E+01,2.16421E+01,7.05104E+00,3.72785E+00,1.03295E+00
291,7.56940E+01,2.15671E+01,7.02753E+00,3.71585E+00,1.02960E+00
292,7.54222E+01,2.14926E+01,7.00417E+00,3.70391E+00,1.02626E+00
293,7.51522E+01,2.14186E+01,6.98095E+00,3.69205E+00,1.02294E+00
294,7.48841E+01,2.13450E+01,6.95787E+00,3.68026E+00,1.01964E+00
295,7.46178E+01,2.12720E+01,6.93493E+00,3.66853E+00,1.01636E+00
296,7.43533E+01,2.11995E+01,6.91213E+00,3.65688E+00,1.01310E+00
297,7.40906E+01,2.11274E+01,6.88947E+00,3.64530E+00,1.00986E+00
298,7.38297E+01,2.10558E+01,6.86695E+00,3.63378E+00,1.00663E+00
299,7.35706E+01,2.09846E+01,6.84456E+00,3.62233E+00,1.00342E+00
300,7.33132E+01,2.09140E+01,6.82231E+00,3.61096E+00,1.00024E+00
301,7.30575E+01,2.08437E+01,6.80020E+00,3.59964E+00,9.97068E-01
302,7.28036E+01,2.07740E+01,6.77822E+00,3.58840E+00,9.93916E-01
303,7.25514E+01,2.07047E+01,6.75637E+00,3.57722E+00,9.90783E-01
304,7.23009E+01,2.06358E+01,6.73466E+00,3.56610E+00,9.87668E-01
305,7.20520E+01,2.05674E+01,6.71308E+00,3.55506E+00,9.84571E-01
306,7.18048E+01,2.04995E+01,6.69163E+00,3.54407E+00,9.81491E-01
307,7.15593E+01,2.04320E+01,6.67031E+00,3.53315E+00,9.78429E-01
308,7.13155E+01,2.03649E+01,6.64912E+00,3.52230E+00,9.75384E-01
309,7.10732E+01,2.02982E+01,6.62805E+00,3.51151E+00,9.72357E-01
310,7.08326E+01,2.02320E+01,6.60711E+00,3.50078E+00,9.69347E-01
311,7.05935E+01,2.01662E+01,6.58630E+00,3.49012E+00,9.66355E-01
312,7.03561E+01,2.01008E+01,6.56562E+00,3.47951E+00,9.63379E-01
313,7.01202E+01,2.00359E+01,6.54506E+00,3.46897E+00,9.60421E-01
314,6.98859E+01,1.99713E+01,6.52462E+00,3.45849E+00,9.57479E-01
315,6.96531E+01,1.99072E+01,6.50430E+00,3.44807E+00,9.54554E-01
316,6.94219E+01,1.98435E+01,6.48411E+00,3.43772E+00,9.51645E-01
317,6.91922E+01,1.97801E+01,6.46403E+00,3.42742E+00,9.48754E-01
318,6.89640E+01,1.97172E+01,6.44408E+00,3.41718E+00,9.45878E-01
319,6.87373E+01,1.96547E+01,6.42425E+00,3.40700E+00,9.43019E-01
320,6.85121E+01,1.95925E+01,6.40453E+00,3.39688E+00,9.40176E-01
321,6.82884E+01,1.95308E+01,6.38493E+00,3.38682E+00,9.37350E-01
322,6.80661E+01,1.94695E+01,6.36545E+00,3.37682E+00,9.34539E-01
323,6.78452E+01,1.94085E+01,6.34608E+00,3.36687E+00,9.31744E-01
324,6.76258E+01,1.93479E+01,6.32683E+00,3.35698E+00,9.28965E-01
325,6.74079E+01,1.92877E+01,6.30769E+00,3.34715E+00,9.26202E-01
326,6.71913E+01,1.92278E+01,6.28867E+00,3.33737E+00,9.23454E-01
327,6.69762E+01,1.91684E+01,6.26975E+00,3.32765E+00,9.20722E-01
